record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
THUAS_S003,2025-03-18T07:46:00Z,NA,"collega's en studenten kijken gek en nieuwsgierig. ik heb het project uitgelegd en dat vinden ze oke. het geeft reuring en dat is leuk, maat ook ongeveer.ak: ben ik een aandachtvrager? waarom heb ik hier mee ingestemd, de sensor is veel groter dan verwacht",zie uitleg hiervoor,"ik heb sinds maandagavond getwijfeld of ik de bril.moest dragen bij een voorlichtingsactiviteit, want het is een beetje raar",NA,"Colleagues and students look at me strangely and with curiosity. I have explained the project and they are okay with it. It creates a buzz, which is fun, but also a bit odd. It makes me wonder: am I seeking attention? Why did I agree to this, the sensor is much bigger than I expected.",See explanation above (the respondent is the author of the description).,"Since Monday evening, I have been doubting whether I should wear the glasses during an information activity, because it feels a bit strange."
THUAS_S003,2025-03-18T09:25:00Z,"note: ik had de eerste dag niet door dat je. als je klaar was met een dagboek, nogmaals op done moest klikken. dat dat pad finish kwam. hij heeft dus niet altijd alle data verzonden",.,NA,.,"Note: I didn't realize on the first day that after finishing a diary entry, I had to click done again for the path to finish. So, it didn't always send all the data.",NA,NA,NA
THUAS_S003,2025-03-18T17:01:00Z,NA,mensen kijken,NA,non,NA,People watching,NA,None
THUAS_S003,2025-03-18T17:46:00Z,ik draag nu mijn lenzen zonder leesgedeelte ipv mijn bril met leesgedeelte. ik heb mijn leesbrilletje nu ook niet op. ik word moe en geirriteerd van het onscherp zien,.,NA,mss dat ik wel eerder de bril afzet vanavond,I am now wearing my contact lenses without the reading part instead of my glasses with the reading section. I am also not wearing my reading glasses. I get tired and irritated from the blurry vision.,NA,NA,Maybe I will take off the glasses earlier tonight.
THUAS_S003,2025-03-18T21:43:00Z,NA,studenten voelden zich afgeleid tijdens een serieus gesprek,zie opmerking,non,NA,Students felt distracted during a serious conversation.,see remark,none
THUAS_S003,2025-03-18T22:40:00Z,NA,mensen denken dat ik film. we moeten er wel om lachen,"otters kijken.   collega's en studenten vragen er naar, merendeels positief. we maken grapjes",ik ga geen ov gebruiken. als anderen denken dat je filmt is dat ongemakkelijk/ gevaarlijk in de bus,NA,People think I am filming. We have to laugh about it.,"Colleagues and students ask about it, mostly positive. We make jokes.","I will not use public transport. If others think you are filming, it is uncomfortable or dangerous in the bus."
THUAS_S003,2025-03-19T00:51:00Z,NA,i don't know the time. i woke up and my bracelet was to tight. i took it off and placed it on the nightstand,NA,.,NA,I don't know the time. I woke up and my bracelet was too tight. I took it off and placed it on the nightstand.,NA,NA
THUAS_S003,2025-03-19T05:42:00Z,NA,"wekker stond op 7.30, maar ik werd uit mezelf wakker om 6.42",NA,.,NA,"The alarm clock was set for 7:30, but I woke up by myself at 6:42.",NA,NA
THUAS_S003,2025-03-19T06:50:00Z,NA,"ik heb even rondgelopen zonder bril (douchen. aankleden, enz). nu ik de bril.opzet merk ik meteen dat je door het nepglas een iets minder helder beeld ziet. ik dacht dat ik daar geen last van had, maar het irriteerde me nu wel, liever kijk ik zonder bril. ik denk dat dat invloed heeft op vermoeidheid. ik vind het minder erg om het monteur te deagen",NA,.,NA,"I walked around for a bit without the glasses (showering, getting dressed, etc.). Now that I put the glasses on, I immediately notice that you see a slightly less clear image through the fake glass. I thought it wouldn't bother me, but now it does irritate me—I would rather look without glasses. I think this influences fatigue. I find it less bothersome to wear them as a mechanic.",NA,NA
THUAS_S003,2025-03-19T10:56:00Z,NA,"ik weet de tijden niet meer, maar de volgorde voor slapen was: in bed, circa 20 min. krant lezen op telefoon, logboek half invullen, in slaap vallen, wakker worden , verder gaan met invullen",NA,.,NA,"I do not remember the times anymore, but the order before sleeping was: in bed, about 20 minutes reading the newspaper on my phone, filling out part of the logbook, falling asleep, waking up, continuing to fill in the logbook.",NA,NA
THUAS_S003,2025-03-19T13:07:00Z,NA,een medewerkster van de winkel vroeg me naar de sensor.,NA,het was opbouwend,NA,A store employee asked me about the sensor.,NA,It was constructive.
THUAS_S003,2025-03-19T16:09:00Z,NA,"People look. neutral. one looked schreden and angry, was not nice",NA,i feel like i'm a fool participating. can't they make a smaller sensor,NA,"People look. Neutral. One person looked disapproving and angry, which was not nice.",NA,I feel like I'm a fool participating. Can't they make a smaller sensor?
THUAS_S003,2025-03-19T23:15:00Z,ik ben in slaapgevalken tijdens het invullen van het dagboek en weet nu niet zeker of ik alles goed heb ingevuld. ik ga nu weer verder slapen en de lamp uitdoen,.,NA,nvt,I fell asleep while filling out the diary and now I'm not sure if I filled in everything correctly. I'm going to go back to sleep now and turn off the lamp.,NA,NA,not applicable
THUAS_S003,2025-03-20T14:24:00Z,NA,"op mijn werk en op een werkgerelateerde bezoek ( middelbare school) spraken enkele bekenden en o bekenden me aan. ze waren lacherig, maar positief. ook bewondering dat ik me laat lenen om voor gek te lopen",NA,"gesprekken zijn soms ook beetje negatief, maar buigend naar positief. blikken zijn neutraal tot negatief.",NA,"At my work and during a work-related visit (secondary school), some acquaintances and unfamiliar people approached me. They were laughing, but positive. There was also admiration that I was willing to look silly.",NA,"Conversations are sometimes a bit negative, but tend to become positive. Looks from others are neutral to negative."
THUAS_S003,2025-03-20T23:55:00Z,ik ben nu heel moe. wilde om 22 uur naar bed maar moest nakijken,".heb de bril afgedaan, want het is een vermoeiend lezen",NA,.,I am very tired now. I wanted to go to bed at 22:00 but had to grade (work).,I took off the glasses because reading with them is tiring.,NA,Not specified.
THUAS_S003,2025-03-22T11:00:00Z,NA,wasophangen op de overloop,NA,het is daar beetje donkerder. ik vond het niet nodig om het lucht aan te doen. ik was geïrriteerd omdat door de bril het iets donkerder/ iets onscherpet is. ik zie ernaar uit dat ik de bril niet meer hoef te dragen,NA,Washing up on the landing,NA,It is a bit darker there. I did not think it was necessary to turn on the light. I was irritated because the glasses make it a bit darker/a bit blurrier. I am looking forward to not having to wear the glasses anymore.
THUAS_S003,2025-03-23T20:50:00Z,NA,"mijn slaap ( vannacht) was op zich goed, maar te kort. nu ben ik ineens geïrriteerd, want moe. ik ben blij dat ik in bed lig om te gaan slapen",NA,.,NA,"My sleep (last night) was fine, but too short. Now I am suddenly irritated, because I am tired. I am glad to be in bed to go to sleep.",NA,NA
THUAS_S005,2025-03-25T12:12:00Z,NA,very bad headache,NA,I don't know if it's the glasses but if it keeps hurting I might take the glasses off,NA,very bad headache,NA,I don't know if it's the glasses but if it keeps hurting I might take the glasses off
THUAS_S006,2025-03-31T15:00:00Z,NA,"on the streets, many people looked at me, or at least more than normal. at work, some people asked if I was filming them, and in general many people were curious especially about the glasses. i shared the story at least 10 times today, most thought it was interesting but would not want to participate or could not due to a prescription of glasses",NA,"well I will probably have to tell the story at least 20 more times I expect, so maybe it would be handy to keep to link to the webpage ready",NA,"On the streets, many people looked at me, or at least more than normal. At work, some people asked if I was filming them, and in general many people were curious especially about the glasses. I shared the story at least 10 times today, most thought it was interesting but would not want to participate or could not due to a prescription of glasses.",NA,"Well, I will probably have to tell the story at least 20 more times I expect, so maybe it would be handy to keep the link to the webpage ready."
THUAS_S006,2025-03-31T19:25:00Z,NA,around 21h i decided to fill in all the hours for the rest of the day on the sheet since I knew what activities i would be doing and how much light i would be exposed to. looking back; I think the estimates were correct,NA,"i will try to log the sheet on multiple occassions. i tried doing it digitally, but pen on paper is fine as well. i will liekly keep the daily sheet in my pocket incl. the pen",NA,"Around 21h I decided to fill in all the hours for the rest of the day on the sheet since I knew what activities I would be doing and how much light I would be exposed to. Looking back, I think the estimates were correct.",NA,"I will try to log the sheet on multiple occasions. I tried doing it digitally, but pen on paper is fine as well. I will likely keep the daily sheet in my pocket including the pen."
THUAS_S006,2025-03-31T19:30:00Z,NA,girlfriend got home and commented on the glasses,NA,"my girlfriend thought the glasses didn't look very great, but she likes how I'm contributing to science",NA,My girlfriend got home and commented on the glasses.,NA,"My girlfriend thought the glasses didn't look very great, but she likes how I'm contributing to science."
THUAS_S006,2025-04-01T06:07:00Z,all the time,"the glasses do require me to keep adjusting it by pressing them up again, but maybe I just have to get used to wearing glasses",NA,"i just keep wearing them, nothing to do. it happens especially when looking downward",all the time,"The glasses keep slipping down and I have to keep pushing them up, but maybe I just need to get used to wearing glasses.",NA,"I will just keep wearing them, nothing to do. The slipping happens especially when looking downward."
THUAS_S006,2025-04-01T06:11:00Z,there has been a constant smudge in the top left corner of my right spectacle.  so far i could not remove it,it kind of subtly block some of my vision,NA,i will keep wearing them and keep cleaning,There has been a constant smudge in the top left corner of my right spectacle. So far I could not remove it.,The smudge kind of subtly blocks some of my vision.,NA,I will keep wearing them and keep cleaning.
THUAS_S006,2025-04-04T17:44:00Z,i am in a concert,i wonder how the concert is visible in the sensor,NA,not much,I am in a concert.,I wonder how the concert is visible in the sensor.,NA,Not much.
THUAS_S006,2025-04-07T06:36:00Z,everywhere,"a remark concerning the hourly log sheets. in future research, it might be convenient to make an app for that as well in here.",NA,not,everywhere,"A remark concerning the hourly log sheets: in future research, it might be convenient to make an app for that as well here.",NA,not
THUAS_S007,2025-04-07T12:28:00Z,NA,"i was walking tot and from the coffee machine, and I feel continuously looked at. this made very uncomfortable. I went home so that I am not around people",NA,"I am unsure, maybe I will briefly hand them in my shirt when walking",NA,"I was walking to and from the coffee machine, and I felt continuously looked at. This made me very uncomfortable. I went home so that I was not around people.",NA,"I am unsure, maybe I will briefly hide them in my shirt when walking."
THUAS_S007,2025-04-07T14:21:00Z,NA,the wrist band is uncomfortable when resting my hand for the keyboard,NA,not,NA,The wrist band is uncomfortable when resting my hand on the keyboard.,NA,Not
THUAS_S007,2025-04-07T15:51:00Z,NA,partner found the glasses hideous and refused to talk when I was wearing them,NA,I hung the glasses from my shirt while talking to my partner,NA,My partner found the glasses hideous and refused to talk to me while I was wearing them.,NA,I hung the glasses from my shirt while talking to my partner.
THUAS_S007,2025-04-08T16:00:00Z,NA,the devices made a friend uncomfortable,NA,"people around me really distrust the device, I will take it off for now",NA,The devices made a friend uncomfortable.,NA,People around me really distrust the device; I will take it off for now.
THUAS_S007,2025-04-09T16:20:00Z,NA,my head hurts from wearing the glasses. I want to take them off but I am not at the 80% mark yet for the day,NA,especially later in the day my head feels tired and I want to stop wearing them. I can't really forget about the glasses so I feel like I cant properly relax with them on. I may taken them off more often at the end of the day,NA,My head hurts from wearing the glasses. I want to take them off but I am not at the 80% mark yet for the day.,NA,Especially later in the day my head feels tired and I want to stop wearing them. I can't really forget about the glasses so I feel like I can't properly relax with them on. I may take them off more often at the end of the day.
THUAS_S007,2025-04-10T09:04:00Z,NA,I feel very uncomfortable wearing the glasses in public. I have an appointment now so I have to get out in public but I have avoided that for the past few days. my daily rythem has not really been normal the past few days. I have stayed inside more than normal and worked from home instead of the office.,NA,not relevant,NA,I feel very uncomfortable wearing the glasses in public. I have an appointment now so I have to get out in public but I have avoided that for the past few days. My daily rhythm has not really been normal the past few days. I have stayed inside more than normal and worked from home instead of the office.,NA,not relevant
THUAS_S007,2025-04-10T11:08:00Z,general statement,my wrist sensor is usually nog pointer upwards. I wear the band very loose because the metal clip irritates my wrist when using the keyboard. it is usally pointed left or right,NA,irrelevant,general statement,My wrist sensor is usually not pointed upwards. I wear the band very loose because the metal clip irritates my wrist when using the keyboard. It is usually pointed left or right.,NA,Irrelevant
THUAS_S010,2025-06-03T16:00:00Z,NA,"i was working in a restaurant; and a lot of people questioned if it was a camera. i responded by saying that ""my life isnt that interesting to film it all the time."" then i gave an explaination to what it is and people were engaged",NA,"the same as begore, easy joke about it. then follow it up by a short explaination. this is most of the time sufficient",NA,"I was working in a restaurant, and a lot of people questioned if it was a camera. I responded by saying that 'my life isn't that interesting to film it all the time.' Then I gave an explanation of what it is, and people were engaged.",NA,"The same as before: make an easy joke about it, then follow up with a short explanation. Most of the time this is sufficient."
THUAS_S010,2025-06-05T12:10:00Z,NA,"so after waking up i didnt have time between showering and leaving home to wear the glasses, it was also raining outside so i took a precaution by not wearing it. now im at school and wearing it again",NA,continue the same steps as this time,NA,"After waking up, I didn't have time to wear the light glasses between showering and leaving home. It was also raining outside, so I decided not to wear them as a precaution. Now I am at school and wearing them again.",NA,I will continue with the same steps as this time.
THUAS_S011,2025-05-12T18:02:00Z,NA,"just arrived at home, it makes me feel a lot more comfortable",NA,it won't,NA,"Just arrived at home, it makes me feel a lot more comfortable.",NA,It won't.
THUAS_S011,2025-05-13T10:04:00Z,went outside,"good, delft surrounsings. feeling more awake and happy",NA,na,went outside,"Good, Delft surroundings. Feeling more awake and happy.",NA,NA
THUAS_S011,2025-05-13T10:44:00Z,NA,"went inside. no particular feelings, however I would have preferred to be outside longer",NA,na,NA,"I went inside. I had no particular feelings, however I would have preferred to be outside longer.",NA,NA
THUAS_S014,2025-07-07T14:23:00Z,NA,first day wearing glasses. those shift from my nose and feel a bit sweaty,NA,get used to those,NA,First day wearing glasses. They shift from my nose and feel a bit sweaty.,NA,Get used to those.
THUAS_S014,2025-07-09T09:08:00Z,NA,the glasses make me irritated because these are heavy and I experience problems by reading,NA,I will allow myself relax moments,NA,The glasses make me irritated because they are heavy and I experience problems while reading.,NA,I will allow myself relaxed moments.
THUAS_S014,2025-07-09T17:07:00Z,NA,the glasses are heavy and irritate my view. I experience not going outside because of the glasses,NA,not yet prompting the glasses but we neeeing what options there are for wearing the glasses because my eyes start to become tired,NA,The glasses are heavy and irritate my view. I avoid going outside because of the glasses.,NA,"I am not yet prompted to use the glasses, but I need to know what options there are for wearing them because my eyes start to become tired."
THUAS_S014,2025-07-11T18:13:00Z,NA,"the glasses drop constantly from my nose doing my household, hanging clothes and watering plants",NA,"next time I have to get water from the canal to water the garden, I will leave the glasses at home",NA,The glasses constantly fall off my nose while I am doing household chores like hanging clothes and watering plants.,NA,"Next time I need to get water from the canal to water the garden, I will leave the glasses at home."
THUAS_S015,2025-07-08T02:13:00Z,NA,woke up because my daughter was stung by mosquitos,NA,I didn't put the glasses on but they will have caught light from the room,NA,Woke up because my daughter was stung by mosquitos.,NA,I didn't put the glasses on but they will have caught light from the room.
THUAS_S015,2025-07-08T12:40:00Z,NA,light flikkering at party centrum knus,NA,it won't,NA,Light flickering at party at Centrum Knus.,NA,It won't.
THUAS_S016,2025-07-08T13:00:00Z,NA,"Wearing the glasses makes me feel uncomfortable. I get a lot of weird looks, people think it's a camera and I'm filming them, it's generally very awkward. I'm just gonna wear the glasses on my collar from now on.",NA,Wearing them on my collar from now on.,NA,"Wearing the glasses makes me feel uncomfortable. I get a lot of weird looks, people think it's a camera and I'm filming them, it's generally very awkward. I'm just gonna wear the glasses on my collar from now on.",NA,Wearing them on my collar from now on.
THUAS_S017,2025-09-08T14:55:00Z,NA,i did not like filling the forms manually for light exposure. i think it kills the purpose. plus how are you going to analyse hand written textual data. you need to train model or manual work.,NA,might use without the form,NA,"I did not like filling the forms manually for light exposure. I think it defeats the purpose. Also, how are you going to analyse handwritten textual data? You would need to train a model or do manual work.",NA,I might use the light glasses without filling in the form.
THUAS_S017,2025-09-09T19:33:00Z,NA,headache . can't focus and nausea,NA,i will reduce the wear,NA,Headache. Can't focus and nausea.,NA,I will reduce the wear.
